username,Month,SystemLoggedInTime,Email,Meetings,WorkingOnIssues,SystemInactiveTime,Offs,SkillPointEarned
HR2148,01-10-2020,21544,2431,4888,14225,3656,1,300
HR2148,01-11-2020,13371,2354,1842,9175,11829,1,700
HR2148,01-12-2020,17380,765,1793,14822,7820,2,600
HR2148,01-01-2021,9774,1926,3533,4315,15426,2,200
HR2148,01-02-2021,10384,82,3177,7125,14816,1,1500
HR2148,01-03-2021,18723,1121,4131,13471,6477,3,1600
HR2148,01-04-2021,14199,2371,2446,9382,11001,1,1900
HR2148,01-05-2021,13286,1362,2533,9391,11914,0,300
HR2148,01-06-2021,17600,252,3304,14044,7600,3,1200
HR2148,01-07-2021,12396,2109,2999,7288,12804,2,1300
HR2148,01-08-2021,9022,943,1077,7002,16178,3,1900
HR2148,01-09-2021,11669,174,5282,6213,13531,3,400
HR2167,01-10-2020,13697,2056,3027,8614,11503,1,400
HR2167,01-11-2020,20200,799,3555,15846,5000,3,900
HR2167,01-12-2020,17420,2132,4213,11075,7780,1,500
HR2167,01-01-2021,13110,2601,4150,6359,12090,2,1500
HR2167,01-02-2021,15774,1120,4988,9666,9426,1,700
HR2167,01-03-2021,12968,1664,3605,7699,12232,2,2000
HR2167,01-04-2021,16922,2622,978,13322,8278,3,300
HR2167,01-05-2021,15080,25,4113,10942,10120,2,1300
HR2167,01-06-2021,17585,2389,1307,13889,7615,0,700
HR2167,01-07-2021,17851,1714,1113,15024,7349,0,600
HR2167,01-08-2021,10191,578,4859,4754,15009,3,1400
HR2167,01-09-2021,13901,321,4700,8880,11299,0,2000
HR2218,01-10-2020,10402,1648,4225,4529,14798,0,0
HR2218,01-11-2020,20294,807,3858,15629,4906,3,900
HR2218,01-12-2020,11314,926,1136,9252,13886,2,1300
HR2218,01-01-2021,15272,886,4683,9703,9928,2,0
HR2218,01-02-2021,17232,1415,3402,12415,7968,3,500
HR2218,01-03-2021,8411,816,1194,6401,16789,2,1800
HR2218,01-04-2021,20909,829,5044,15036,4291,0,1100
HR2218,01-05-2021,10428,915,5357,4156,14772,3,1900
HR2218,01-06-2021,18228,1771,4387,12070,6972,0,1500
HR2218,01-07-2021,10987,827,1671,8489,14213,3,1700
HR2218,01-08-2021,13132,2341,1746,9045,12068,3,600
HR2218,01-09-2021,13803,283,1369,12151,11397,3,1200
HR2585,01-10-2020,19778,2219,5300,12259,5422,1,200
HR2585,01-11-2020,11249,1676,2694,6879,13951,2,300
HR2585,01-12-2020,8105,1044,1332,5729,17095,3,1100
HR2585,01-01-2021,15409,1055,1605,12749,9791,3,1100
HR2585,01-02-2021,18671,2050,954,15667,6529,0,900
HR2585,01-03-2021,19638,1281,2462,15895,5562,2,2000
HR2585,01-04-2021,17661,1367,3757,12537,7539,2,900
HR2585,01-05-2021,9114,1143,2827,5144,16086,2,0
HR2585,01-06-2021,9234,491,1264,7479,15966,2,1500
HR2585,01-07-2021,12417,1938,3392,7087,12783,0,900
HR2585,01-08-2021,20850,1955,4959,13936,4350,3,1000
HR2585,01-09-2021,11788,1688,3666,6434,13412,2,1000
HR2648,01-10-2020,16622,1893,2547,12182,8578,3,700
HR2648,01-11-2020,11916,387,4127,7402,13284,1,1200
HR2648,01-12-2020,17797,1251,4765,11781,7403,3,300
HR2648,01-01-2021,17000,2390,3846,10764,8200,0,1600
HR2648,01-02-2021,9023,1213,3407,4403,16177,3,700
HR2648,01-03-2021,11348,2245,4805,4298,13852,1,600
HR2648,01-04-2021,16678,1008,4246,11424,8522,1,1700
HR2648,01-05-2021,17651,243,2823,14585,7549,2,1800
HR2648,01-06-2021,20475,1199,3144,16132,4725,2,1400
HR2648,01-07-2021,12392,2093,4595,5704,12808,0,1000
HR2648,01-08-2021,16910,278,3666,12966,8290,3,400
HR2648,01-09-2021,7239,509,2635,4095,17961,2,900
HR2693,01-10-2020,13166,1336,4326,7504,12034,0,400
HR2693,01-11-2020,11277,2678,1879,6720,13923,1,2000
HR2693,01-12-2020,16386,1108,4357,10921,8814,3,1100
HR2693,01-01-2021,8534,2571,1775,4188,16666,0,1000
HR2693,01-02-2021,21821,1324,5324,15173,3379,0,700
HR2693,01-03-2021,8640,283,3620,4737,16560,3,1100
HR2693,01-04-2021,10569,1219,4312,5038,14631,3,500
HR2693,01-05-2021,12315,1017,4523,6775,12885,0,500
HR2693,01-06-2021,18273,1868,4362,12043,6927,1,1700
HR2693,01-07-2021,8902,869,1281,6752,16298,3,400
HR2693,01-08-2021,14783,2503,3716,8564,10417,0,1600
HR2693,01-09-2021,20738,1073,4510,15155,4462,2,1100
HR2757,01-10-2020,13776,613,5194,7969,11424,2,700
HR2757,01-11-2020,11808,1916,1951,7941,13392,1,200
HR2757,01-12-2020,11030,92,3534,7404,14170,0,1700
HR2757,01-01-2021,16747,169,4794,11784,8453,2,1100
HR2757,01-02-2021,9523,199,5319,4005,15677,1,1900
HR2757,01-03-2021,8239,1219,3172,3848,16961,1,1200
HR2757,01-04-2021,11758,1337,2651,7770,13442,0,1900
HR2757,01-05-2021,13091,1742,4044,7305,12109,1,0
HR2757,01-06-2021,13168,1965,1373,9830,12032,1,1600
HR2757,01-07-2021,8753,2313,934,5506,16447,2,900
HR2757,01-08-2021,17142,232,3882,13028,8058,1,1300
HR2757,01-09-2021,16063,456,4097,11510,9137,1,1800
HR2802,01-10-2020,10739,960,3003,6776,14461,1,1600
HR2802,01-11-2020,14045,718,3830,9497,11155,1,2000
HR2802,01-12-2020,12446,457,2148,9841,12754,1,1900
HR2802,01-01-2021,10894,1589,2933,6372,14306,2,500
HR2802,01-02-2021,6843,1431,1129,4283,18357,3,700
HR2802,01-03-2021,16572,901,4739,10932,8628,0,800
HR2802,01-04-2021,15969,2510,4375,9084,9231,0,1600
HR2802,01-05-2021,14511,1299,2795,10417,10689,1,1800
HR2802,01-06-2021,10450,1353,3135,5962,14750,0,1900
HR2802,01-07-2021,10466,674,4308,5484,14734,3,1600
HR2802,01-08-2021,14913,2186,4101,8626,10287,3,1400
HR2802,01-09-2021,11863,2241,4129,5493,13337,1,700
HR2931,01-10-2020,10924,2260,2871,5793,14276,0,1300
HR2931,01-11-2020,13343,1837,5217,6289,11857,3,600
HR2931,01-12-2020,11711,378,4012,7321,13489,1,200
HR2931,01-01-2021,20921,670,4406,15845,4279,2,200
HR2931,01-02-2021,12770,40,1520,11210,12430,3,1700
HR2931,01-03-2021,14520,1697,4011,8812,10680,3,1800
HR2931,01-04-2021,12117,169,4271,7677,13083,0,1500
HR2931,01-05-2021,15103,2274,3078,9751,10097,0,500
HR2931,01-06-2021,13444,1815,1445,10184,11756,1,1800
HR2931,01-07-2021,15642,2465,4928,8249,9558,3,1700
HR2931,01-08-2021,14575,240,4829,9506,10625,3,500
HR2931,01-09-2021,11217,2307,1307,7603,13983,0,1200
HR2986,01-10-2020,14006,2233,4493,7280,11194,0,600
HR2986,01-11-2020,14475,1859,3468,9148,10725,3,1900
HR2986,01-12-2020,19501,727,4889,13885,5699,0,1000
HR2986,01-01-2021,14482,1421,3509,9552,10718,0,1700
HR2986,01-02-2021,11067,2137,2510,6420,14133,3,1400
HR2986,01-03-2021,6699,661,1935,4103,18501,3,1800
HR2986,01-04-2021,16813,1999,1532,13282,8387,2,1600
HR2986,01-05-2021,15320,1097,2531,11692,9880,2,1000
HR2986,01-06-2021,19757,1379,5061,13317,5443,3,600
HR2986,01-07-2021,17451,920,4592,11939,7749,1,700
HR2986,01-08-2021,13141,1156,1167,10818,12059,2,100
HR2986,01-09-2021,17018,702,5012,11304,8182,3,300
HR3156,01-10-2020,16140,1790,4027,10323,9060,0,700
HR3156,01-11-2020,16434,1467,3235,11732,8766,1,1600
HR3156,01-12-2020,15816,221,4106,11489,9384,2,300
HR3156,01-01-2021,16513,2607,3473,10433,8687,0,100
HR3156,01-02-2021,20530,2655,4956,12919,4670,1,300
HR3156,01-03-2021,8102,1850,1222,5030,17098,3,300
HR3156,01-04-2021,7281,464,2596,4221,17919,2,2000
HR3156,01-05-2021,10888,1628,2741,6519,14312,1,2000
HR3156,01-06-2021,9275,2045,2673,4557,15925,2,1800
HR3156,01-07-2021,15750,2385,938,12427,9450,1,300
HR3156,01-08-2021,13796,951,2403,10442,11404,1,0
HR3156,01-09-2021,12110,1970,1382,8758,13090,2,600
HR3205,01-10-2020,15493,276,1082,14135,9707,2,1500
HR3205,01-11-2020,18190,1089,4995,12106,7010,3,1700
HR3205,01-12-2020,13645,1268,1359,11018,11555,0,1400
HR3205,01-01-2021,11143,1599,2338,7206,14057,3,100
HR3205,01-02-2021,14305,2335,4761,7209,10895,2,1000
HR3205,01-03-2021,7214,125,1058,6031,17986,2,100
HR3205,01-04-2021,9801,162,1578,8061,15399,0,1700
HR3205,01-05-2021,13186,1029,4273,7884,12014,1,1200
HR3205,01-06-2021,19560,403,3954,15203,5640,2,1900
HR3205,01-07-2021,7097,433,962,5702,18103,3,0
HR3205,01-08-2021,11531,22,2269,9240,13669,1,300
HR3205,01-09-2021,9380,2643,1556,5181,15820,3,1700
HR3327,01-10-2020,20523,2614,1981,15928,4677,1,1100
HR3327,01-11-2020,14147,213,4312,9622,11053,2,700
HR3327,01-12-2020,14823,2317,5241,7265,10377,2,600
HR3327,01-01-2021,20409,2644,3333,14432,4791,2,1000
HR3327,01-02-2021,11995,736,4998,6261,13205,3,200
HR3327,01-03-2021,11624,738,5373,5513,13576,2,100
HR3327,01-04-2021,6344,828,1144,4372,18856,1,1500
HR3327,01-05-2021,20007,897,3275,15835,5193,0,700
HR3327,01-06-2021,10307,1311,4980,4016,14893,0,1800
HR3327,01-07-2021,12258,1844,4743,5671,12942,0,1200
HR3327,01-08-2021,17998,231,4274,13493,7202,2,1600
HR3327,01-09-2021,12335,838,980,10517,12865,1,1200
HR3427,01-10-2020,8627,195,3021,5411,16573,3,1000
HR3427,01-11-2020,12708,2526,4902,5280,12492,2,1700
HR3427,01-12-2020,23208,2535,4899,15774,1992,1,800
HR3427,01-01-2021,10794,943,4651,5200,14406,0,1700
HR3427,01-02-2021,11046,1742,3620,5684,14154,2,800
HR3427,01-03-2021,9045,2122,958,5965,16155,3,1400
HR3427,01-04-2021,18517,400,2549,15568,6683,1,1500
HR3427,01-05-2021,15670,967,1940,12763,9530,1,300
HR3427,01-06-2021,14953,145,3585,11223,10247,3,1200
HR3427,01-07-2021,15014,2300,3852,8862,10186,2,600
HR3427,01-08-2021,12315,1331,1896,9088,12885,1,400
HR3427,01-09-2021,16864,2238,1042,13584,8336,2,800
HR3454,01-10-2020,11142,2071,3285,5786,14058,3,1900
HR3454,01-11-2020,15176,621,3018,11537,10024,3,1000
HR3454,01-12-2020,12033,1603,4098,6332,13167,3,1500
HR3454,01-01-2021,10164,40,1663,8461,15036,3,500
HR3454,01-02-2021,7056,591,2630,3835,18144,2,700
HR3454,01-03-2021,11236,222,5006,6008,13964,2,600
HR3454,01-04-2021,16932,1175,1718,14039,8268,1,0
HR3454,01-05-2021,18500,41,2842,15617,6700,1,200
HR3454,01-06-2021,13840,406,4296,9138,11360,3,1100
HR3454,01-07-2021,18135,1527,3878,12730,7065,2,2000
HR3454,01-08-2021,8998,1853,1535,5610,16202,1,600
HR3454,01-09-2021,17035,2203,4722,10110,8165,3,100
HR3479,01-10-2020,18847,411,2855,15581,6353,1,700
HR3479,01-11-2020,14299,1377,1563,11359,10901,0,700
HR3479,01-12-2020,18444,179,2911,15354,6756,1,800
HR3479,01-01-2021,18070,1991,1402,14677,7130,0,1600
HR3479,01-02-2021,14623,1346,3395,9882,10577,2,1900
HR3479,01-03-2021,9488,2429,2157,4902,15712,3,1100
HR3479,01-04-2021,20085,2113,3230,14742,5115,3,700
HR3479,01-05-2021,16111,1293,3165,11653,9089,1,1300
HR3479,01-06-2021,10047,1349,1718,6980,15153,1,1200
HR3479,01-07-2021,8588,1083,1157,6348,16612,3,1400
HR3479,01-08-2021,13921,297,5212,8412,11279,1,1100
HR3479,01-09-2021,13498,2398,1994,9106,11702,1,400
HR3782,01-10-2020,17822,1210,2014,14598,7378,0,1600
HR3782,01-11-2020,15385,2581,2087,10717,9815,0,1200
HR3782,01-12-2020,14235,1275,2174,10786,10965,1,500
HR3782,01-01-2021,17846,753,1629,15464,7354,0,900
HR3782,01-02-2021,11744,790,1325,9629,13456,3,500
HR3782,01-03-2021,11023,2395,2017,6611,14177,3,300
HR3782,01-04-2021,21204,2077,4776,14351,3996,2,0
HR3782,01-05-2021,13395,912,3010,9473,11805,1,1700
HR3782,01-06-2021,16246,1851,4089,10306,8954,1,1600
HR3782,01-07-2021,7672,8,1066,6598,17528,3,300
HR3782,01-08-2021,14627,1377,1110,12140,10573,0,1400
HR3782,01-09-2021,13549,2605,2313,8631,11651,3,200
HR3849,01-10-2020,19482,2212,4560,12710,5718,3,300
HR3849,01-11-2020,18041,1895,3684,12462,7159,3,900
HR3849,01-12-2020,20269,2442,4592,13235,4931,1,100
HR3849,01-01-2021,15884,526,984,14374,9316,1,100
HR3849,01-02-2021,22835,2457,4988,15390,2365,0,2000
HR3849,01-03-2021,18116,411,4952,12753,7084,2,600
HR3849,01-04-2021,16315,897,3333,12085,8885,2,600
HR3849,01-05-2021,13351,2566,3665,7120,11849,0,1300
HR3849,01-06-2021,15576,2322,1326,11928,9624,0,400
HR3849,01-07-2021,6807,1655,1535,3617,18393,1,1600
HR3849,01-08-2021,13590,2072,3638,7880,11610,3,1300
HR3849,01-09-2021,15855,708,2648,12499,9345,3,1400
HR3914,01-10-2020,21936,2689,3407,15840,3264,1,900
HR3914,01-11-2020,17977,1112,2321,14544,7223,1,600
HR3914,01-12-2020,14807,1068,2519,11220,10393,3,1900
HR3914,01-01-2021,20782,2142,4360,14280,4418,1,1400
HR3914,01-02-2021,11915,382,3100,8433,13285,2,1700
HR3914,01-03-2021,21004,2203,4665,14136,4196,3,200
HR3914,01-04-2021,9089,2505,1691,4893,16111,3,600
HR3914,01-05-2021,19661,1597,3131,14933,5539,2,1100
HR3914,01-06-2021,17253,2128,3790,11335,7947,3,100
HR3914,01-07-2021,11391,2381,3282,5728,13809,2,600
HR3914,01-08-2021,16803,1678,4974,10151,8397,0,1900
HR3914,01-09-2021,14734,1632,3243,9859,10466,1,1400
HR3950,01-10-2020,20811,1461,3346,16004,4389,0,200
HR3950,01-11-2020,15397,1497,5149,8751,9803,0,1900
HR3950,01-12-2020,9585,579,1858,7148,15615,3,700
HR3950,01-01-2021,5826,925,1270,3631,19374,3,400
HR3950,01-02-2021,18249,1049,1912,15288,6951,0,600
HR3950,01-03-2021,10966,1069,1824,8073,14234,0,1100
HR3950,01-04-2021,18930,1409,3017,14504,6270,1,1800
HR3950,01-05-2021,11522,2533,4822,4167,13678,2,100
HR3950,01-06-2021,17309,73,3007,14229,7891,0,600
HR3950,01-07-2021,7794,1793,1811,4190,17406,1,1000
HR3950,01-08-2021,20589,1859,3102,15628,4611,2,2000
HR3950,01-09-2021,11637,2269,3193,6175,13563,3,700
HR4009,01-10-2020,10573,1827,4831,3915,14627,3,1000
HR4009,01-11-2020,19694,2306,2133,15255,5506,1,0
HR4009,01-12-2020,19069,1072,5227,12770,6131,0,1300
HR4009,01-01-2021,11443,2148,3297,5998,13757,0,700
HR4009,01-02-2021,15145,1159,4601,9385,10055,3,1000
HR4009,01-03-2021,15141,1129,1521,12491,10059,3,600
HR4009,01-04-2021,13438,167,3477,9794,11762,1,1800
HR4009,01-05-2021,20280,1301,4485,14494,4920,2,1200
HR4009,01-06-2021,13585,704,3818,9063,11615,2,2000
HR4009,01-07-2021,17401,576,3907,12918,7799,1,2000
HR4009,01-08-2021,12825,2472,930,9423,12375,0,1700
HR4009,01-09-2021,18446,1329,964,16153,6754,2,2000
HR4099,01-10-2020,12025,2473,2396,7156,13175,3,1300
HR4099,01-11-2020,19075,1056,4453,13566,6125,2,1000
HR4099,01-12-2020,16050,1312,4837,9901,9150,2,1700
HR4099,01-01-2021,16481,73,2591,13817,8719,2,700
HR4099,01-02-2021,12867,630,5043,7194,12333,0,600
HR4099,01-03-2021,18104,1519,5296,11289,7096,2,1600
HR4099,01-04-2021,22897,1901,5312,15684,2303,0,700
HR4099,01-05-2021,7258,2449,982,3827,17942,2,1400
HR4099,01-06-2021,9524,2014,1511,5999,15676,2,600
HR4099,01-07-2021,16901,241,1250,15410,8299,0,100
HR4099,01-08-2021,11351,2454,4836,4061,13849,0,1300
HR4099,01-09-2021,10142,1867,3285,4990,15058,1,1800
HR4104,01-10-2020,19713,1718,5025,12970,5487,1,1600
HR4104,01-11-2020,16329,191,4996,11142,8871,2,500
HR4104,01-12-2020,10431,768,3338,6325,14769,0,800
HR4104,01-01-2021,17281,1683,4037,11561,7919,2,500
HR4104,01-02-2021,9795,639,3673,5483,15405,2,1500
HR4104,01-03-2021,18058,1678,1072,15308,7142,2,0
HR4104,01-04-2021,15575,1473,2347,11755,9625,1,1800
HR4104,01-05-2021,13680,1219,3443,9018,11520,3,900
HR4104,01-06-2021,12169,2346,1799,8024,13031,1,700
HR4104,01-07-2021,12438,576,2766,9096,12762,3,600
HR4104,01-08-2021,13241,719,1243,11279,11959,0,600
HR4104,01-09-2021,20634,133,5207,15294,4566,1,1600
HR4157,01-10-2020,19771,1732,1867,16172,5429,3,1600
HR4157,01-11-2020,14712,311,1956,12445,10488,1,2000
HR4157,01-12-2020,16037,1272,3357,11408,9163,1,1500
HR4157,01-01-2021,16439,1793,4121,10525,8761,1,800
HR4157,01-02-2021,13802,677,4161,8964,11398,3,500
HR4157,01-03-2021,18033,1553,3089,13391,7167,0,1600
HR4157,01-04-2021,13874,487,4498,8889,11326,0,1500
HR4157,01-05-2021,13728,604,3634,9490,11472,1,2000
HR4157,01-06-2021,16754,1319,1379,14056,8446,2,300
HR4157,01-07-2021,15603,769,4743,10091,9597,2,0
HR4157,01-08-2021,6894,1648,1274,3972,18306,0,600
HR4157,01-09-2021,7587,693,2656,4238,17613,0,700
HR4170,01-10-2020,15386,1236,1620,12530,9814,3,1800
HR4170,01-11-2020,11764,104,1604,10056,13436,2,1000
HR4170,01-12-2020,15469,1229,4770,9470,9731,3,500
HR4170,01-01-2021,13703,1326,4268,8109,11497,2,300
HR4170,01-02-2021,12556,2560,3277,6719,12644,3,1900
HR4170,01-03-2021,18006,599,3358,14049,7194,1,900
HR4170,01-04-2021,20806,2182,4141,14483,4394,3,800
HR4170,01-05-2021,10474,127,4460,5887,14726,2,1300
HR4170,01-06-2021,16722,349,1616,14757,8478,2,800
HR4170,01-07-2021,18026,2208,4120,11698,7174,0,1800
HR4170,01-08-2021,15962,2310,2491,11161,9238,2,1900
HR4170,01-09-2021,16627,212,5220,11195,8573,2,700
HR4242,01-10-2020,19928,2675,4666,12587,5272,0,1300
HR4242,01-11-2020,10327,2305,3201,4821,14873,2,1200
HR4242,01-12-2020,14948,2055,2709,10184,10252,1,1600
HR4242,01-01-2021,19637,1076,2417,16144,5563,0,500
HR4242,01-02-2021,15349,938,2365,12046,9851,0,1100
HR4242,01-03-2021,16599,1166,1188,14245,8601,2,900
HR4242,01-04-2021,18842,1210,1926,15706,6358,2,800
HR4242,01-05-2021,11374,1750,5187,4437,13826,2,1400
HR4242,01-06-2021,11937,569,5147,6221,13263,0,400
HR4242,01-07-2021,16925,1914,4596,10415,8275,0,700
HR4242,01-08-2021,19099,1313,2181,15605,6101,0,2000
HR4242,01-09-2021,19970,893,5125,13952,5230,3,600
HR4343,01-10-2020,9888,1840,1716,6332,15312,0,1500
HR4343,01-11-2020,19883,1882,2706,15295,5317,1,0
HR4343,01-12-2020,13717,53,3489,10175,11483,2,1400
HR4343,01-01-2021,14510,768,3996,9746,10690,0,1800
HR4343,01-02-2021,10309,1305,1308,7696,14891,1,200
HR4343,01-03-2021,8429,1357,1390,5682,16771,3,1700
HR4343,01-04-2021,20795,354,4684,15757,4405,0,2000
HR4343,01-05-2021,12823,858,1657,10308,12377,2,1400
HR4343,01-06-2021,22636,2448,4919,15269,2564,2,900
HR4343,01-07-2021,11445,388,4948,6109,13755,2,700
HR4343,01-08-2021,17889,1964,4895,11030,7311,1,800
HR4343,01-09-2021,14660,344,3539,10777,10540,2,1100
HR4394,01-10-2020,18691,2356,2959,13376,6509,0,1800
